ordernumber,sales_channel,deliverydate,currencycode,order_quantity,discount_applied,unit_price,unit_cost,product_name,customer_names,discount_amount,net_price,profit
SO - 0002916,In-Store,2019-05-24,USD,2,0.4,3865.9,1662.337,Candles,Rochester Ltd,1546.3600000000001,4639.08,1314.406
SO - 0003193,Distributor,2019-06-24,USD,7,0.1,1152.4,460.96,Candles,Rochester Ltd,115.24000000000001,7260.120000000001,4033.400000000001
SO - 0004307,In-Store,2019-11-01,USD,5,0.05,5360.0,3644.8,Candles,Rochester Ltd,268.0,25460.0,7236.0
SO - 0005201,In-Store,2020-02-26,USD,5,0.075,1045.2,836.1600000000001,Candles,Rochester Ltd,78.39,4834.05,653.25
SO - 0006544,Wholesale,2020-07-11,USD,3,0.15,5159.0,2785.86,Candles,Rochester Ltd,773.85,13155.449999999999,4797.869999999999
SO - 0007117,Wholesale,2020-10-05,USD,7,0.1,261.3,107.133,Candles,Rochester Ltd,26.130000000000003,1646.19,896.2590000000001
SO - 0007128,In-Store,2020-09-28,USD,3,0.1,5118.8,2303.46,Candles,Rochester Ltd,511.88000000000005,13820.76,6910.38
SO - 0007782,Wholesale,2020-12-12,USD,7,0.2,6244.400000000001,4433.524,Candles,Rochester Ltd,1248.88,34968.64,3933.971999999998
SO - 000538,Online,2018-08-15,USD,7,0.075,241.2,185.724,Cookware,Rochester Ltd,18.09,1561.77,261.702
SO - 0003992,Distributor,2019-09-25,USD,2,0.05,2425.4,1722.034,Cookware,Rochester Ltd,121.27000000000001,4608.26,1164.192
SO - 0005571,In-Store,2020-04-06,USD,1,0.2,1112.2,556.1,Cookware,Rochester Ltd,222.44000000000003,889.76,333.65999999999997
SO - 0006590,Distributor,2020-07-28,USD,1,0.05,194.3,81.60600000000001,Cookware,Rochester Ltd,9.715000000000002,184.585,102.979
SO - 0004458,Online,2019-11-30,USD,8,0.1,1078.7,453.054,Bathroom Furniture,Rochester Ltd,107.87,7766.64,4142.2080000000005
SO - 0006086,Online,2020-06-14,USD,7,0.2,3966.4,1705.552,Bathroom Furniture,Rochester Ltd,793.2800000000001,22211.84,10272.976
SO - 0001282,In-Store,2018-11-19,USD,2,0.05,5373.400000000001,2364.2960000000003,Audio,Rochester Ltd,268.67,10209.460000000001,5480.868
SO - 0004428,Online,2019-11-26,USD,4,0.05,1051.9,694.2540000000001,Audio,Rochester Ltd,52.595000000000006,3997.2200000000003,1220.2039999999997
SO - 000125,In-Store,2018-06-24,USD,1,0.15,268.0,131.32,Bakeware,Rochester Ltd,40.199999999999996,227.8,96.48000000000002
SO - 0001476,Online,2018-12-04,USD,4,0.05,2572.8,1543.68,Bakeware,Rochester Ltd,128.64000000000001,9776.640000000001,3601.920000000001
SO - 0001561,Distributor,2018-12-18,USD,2,0.075,5038.400000000001,3023.0400000000004,Bakeware,Rochester Ltd,377.88000000000005,9321.04,3274.96
SO - 0002445,In-Store,2019-03-21,USD,5,0.075,1005.0,814.0500000000001,Bakeware,Rochester Ltd,75.375,4648.125,577.8749999999995
SO - 0002633,Online,2019-04-28,USD,7,0.1,2907.8,2297.1620000000003,Bakeware,Rochester Ltd,290.78000000000003,18319.14,2239.0059999999976
SO - 0004540,Online,2019-12-02,USD,6,0.05,3859.2,3241.728,Bakeware,Rochester Ltd,192.96,21997.44,2547.0719999999965
SO - 0007472,In-Store,2020-11-22,USD,8,0.1,1762.1,1444.922,Bakeware,Rochester Ltd,176.21,12687.119999999999,1127.7439999999988
SO - 0002425,Wholesale,2019-03-10,USD,6,0.05,3946.3,1973.15,Rugs,Rochester Ltd,197.31500000000003,22493.91,10655.009999999998
SO - 000610,Wholesale,2018-09-01,USD,1,0.15,3865.9,3054.061,Floor Lamps,Rochester Ltd,579.885,3286.0150000000003,231.95400000000018
SO - 0002808,Online,2019-05-17,USD,6,0.2,991.6,694.12,Floor Lamps,Rochester Ltd,198.32000000000002,4759.68,594.96
SO - 0003888,Distributor,2019-09-14,USD,7,0.1,951.4,618.41,Floor Lamps,Rochester Ltd,95.14,5993.82,1664.9499999999998
SO - 0002874,Distributor,2019-05-20,USD,2,0.075,1179.2,919.776,Vases,Rochester Ltd,88.44,2181.52,341.9680000000001
SO - 0005009,Wholesale,2020-02-13,USD,2,0.05,1125.6,697.8720000000001,Vases,Rochester Ltd,56.28,2138.64,742.8959999999997
SO - 0005239,Online,2020-02-27,USD,3,0.05,3028.4,2150.164,Vases,Rochester Ltd,151.42000000000002,8630.94,2180.4480000000003
SO - 0006640,Distributor,2020-07-30,USD,8,0.05,3953.0,2134.6200000000003,Vases,Rochester Ltd,197.65,30042.8,12965.839999999997
SO - 0001680,Wholesale,2018-12-29,USD,1,0.2,1795.6,1256.92,TV and video,Rochester Ltd,359.12,1436.48,179.55999999999995
SO - 0001958,In-Store,2019-01-22,USD,4,0.3,5172.400000000001,3258.6120000000005,TV and video,Rochester Ltd,1551.72,14482.720000000001,1448.271999999999
SO - 0003293,In-Store,2019-06-21,USD,7,0.075,3618.0,2858.2200000000003,TV and video,Rochester Ltd,271.34999999999997,23426.55,3419.0099999999984
SO - 0005670,Distributor,2020-04-07,USD,8,0.1,3892.7,2335.62,TV and video,Rochester Ltd,389.27,28027.44,9342.48
SO - 0001437,In-Store,2018-11-29,USD,5,0.15,3999.9,2039.949,Table Lamps,Rochester Ltd,599.985,16999.575,6799.83
SO - 0006928,Distributor,2020-08-31,USD,1,0.3,2680.0,1179.2,Table Lamps,Rochester Ltd,804.0,1876.0,696.8
SO - 0007456,In-Store,2020-11-01,USD,8,0.075,1896.1,796.3620000000001,Table Lamps,Rochester Ltd,142.20749999999998,14031.14,7660.243999999999
SO - 0004091,Online,2019-09-29,USD,6,0.05,180.9,86.832,Bar Tools,Rochester Ltd,9.045,1031.13,510.13800000000015
SO - 0005648,Online,2020-04-12,USD,3,0.05,2626.4,1785.9520000000002,Bar Tools,Rochester Ltd,131.32000000000002,7485.24,2127.383999999999
SO - 0006296,Online,2020-06-18,USD,7,0.2,3912.8,1643.376,Bar Tools,Rochester Ltd,782.5600000000001,21911.68,10408.048
SO - 0007416,Distributor,2020-11-11,USD,3,0.05,3953.0,1699.79,Bar Tools,Rochester Ltd,197.65,11266.05,6166.679999999999
SO - 0002725,Online,2019-04-22,USD,8,0.3,1125.6,585.3120000000001,Wall Frames,Rochester Ltd,337.67999999999995,6303.36,1620.8639999999987
SO - 0002845,Online,2019-05-04,USD,2,0.05,1051.9,725.811,Wall Frames,Rochester Ltd,52.595000000000006,1998.6100000000001,546.988
SO - 0005282,In-Store,2020-02-25,USD,6,0.075,5272.900000000001,2267.347,Wall Frames,Rochester Ltd,395.46750000000003,29264.595000000005,15660.513000000003
SO - 0005657,In-Store,2020-04-06,USD,4,0.075,3484.0,2160.08,Wall Frames,Rochester Ltd,261.3,12890.8,4250.48
SO - 0005912,Distributor,2020-05-23,USD,7,0.1,214.4,150.07999999999998,Wall Frames,Rochester Ltd,21.44,1350.72,300.1600000000001
SO - 0007728,Online,2020-11-28,USD,5,0.075,1112.2,533.856,Wall Frames,Rochester Ltd,83.415,5143.925,2474.6450000000004
SO - 0002161,In-Store,2019-02-11,USD,2,0.1,167.5,113.9,Outdoor Decor,Rochester Ltd,16.75,301.5,73.69999999999999
SO - 0002822,In-Store,2019-05-04,USD,2,0.075,1051.9,452.317,Outdoor Decor,Rochester Ltd,78.8925,1946.015,1041.381
SO - 0004057,In-Store,2019-09-23,USD,1,0.05,4013.3,1886.251,Outdoor Decor,Rochester Ltd,200.66500000000002,3812.635,1926.3840000000002
SO - 0005333,In-Store,2020-03-16,USD,7,0.2,2405.3,1154.544,Outdoor Decor,Rochester Ltd,481.06000000000006,13469.680000000002,5387.872000000001
SO - 0002152,Distributor,2019-02-06,USD,2,0.075,1976.5,1581.2,Table Linens,Rochester Ltd,148.23749999999998,3656.525,494.125
SO - 0004513,In-Store,2019-11-15,USD,5,0.05,201.0,114.57,Table Linens,Rochester Ltd,10.05,954.75,381.9000000000001
SO - 0005395,Wholesale,2020-03-05,USD,8,0.075,1011.7,536.201,Table Linens,Rochester Ltd,75.8775,7486.58,3196.9719999999998
SO - 0006572,Online,2020-08-02,USD,6,0.1,971.5,757.77,Table Linens,Rochester Ltd,97.15,5246.1,699.4800000000005
SO - 0007930,In-Store,2021-01-04,USD,3,0.1,1045.2,512.148,Table Linens,Rochester Ltd,104.52000000000001,2822.04,1285.596
SO - 0001150,In-Store,2018-10-26,USD,5,0.05,1989.9,795.96,Clocks,Rochester Ltd,99.495,9452.025000000001,5472.225000000001
SO - 0003653,In-Store,2019-08-23,USD,6,0.1,3825.7,2218.906,Clocks,Rochester Ltd,382.57,20658.78,7345.343999999999
SO - 0004449,Distributor,2019-12-03,USD,3,0.075,1125.6,664.104,Clocks,Rochester Ltd,84.41999999999999,3123.5399999999995,1131.2279999999994
SO - 0006726,In-Store,2020-08-18,USD,5,0.2,1018.4,712.88,Clocks,Rochester Ltd,203.68,4073.6000000000004,509.2000000000003
SO - 0006969,Wholesale,2020-09-22,USD,3,0.15,2432.1,1653.828,Clocks,Rochester Ltd,364.815,6201.855,1240.3709999999992
SO - 000516,In-Store,2018-08-10,USD,6,0.075,2733.6,1230.12,Platters,Rochester Ltd,205.01999999999998,15171.48,7790.76
SO - 000851,In-Store,2018-08-30,USD,4,0.075,2499.1,1624.415,Platters,Rochester Ltd,187.43249999999998,9246.67,2749.01
SO - 0007816,Distributor,2020-12-19,USD,4,0.1,2398.6,1439.16,Platters,Rochester Ltd,239.86,8634.96,2878.319999999999
SO - 000465,In-Store,2018-07-23,USD,1,0.05,2425.4,1430.986,Mirrors,Rochester Ltd,121.27000000000001,2304.13,873.144
SO - 000568,Online,2018-08-15,USD,8,0.075,1896.1,948.05,Mirrors,Rochester Ltd,142.20749999999998,14031.14,6446.74
SO - 0001419,In-Store,2018-11-10,USD,8,0.075,2412.0,1181.88,Mirrors,Rochester Ltd,180.9,17848.8,8393.759999999998
SO - 0004142,Online,2019-10-05,USD,7,0.05,2284.7000000000003,1416.514,Mirrors,Rochester Ltd,114.23500000000001,15193.255000000001,5277.657000000001
SO - 0005246,Distributor,2020-02-17,USD,5,0.05,904.5,443.205,Mirrors,Rochester Ltd,45.225,4296.375,2080.35
SO - 0005510,Distributor,2020-03-16,USD,8,0.05,1876.0,1275.68,Mirrors,Rochester Ltd,93.80000000000001,14257.6,4052.16
SO - 0005576,Online,2020-03-27,USD,2,0.1,3892.7,2102.0580000000004,Mirrors,Rochester Ltd,389.27,7006.86,2802.743999999999
SO - 0006032,Online,2020-05-11,USD,7,0.1,777.2,349.74,Mirrors,Rochester Ltd,77.72000000000001,4896.360000000001,2448.1800000000003
SO - 0007234,In-Store,2020-10-15,USD,3,0.1,3825.7,1759.822,Mirrors,Rochester Ltd,382.57,10329.39,5049.924
SO - 0002306,Online,2019-02-25,USD,1,0.05,1701.8,1412.494,Dinnerware,Rochester Ltd,85.09,1616.71,204.21600000000012
SO - 0003332,Wholesale,2019-07-15,USD,4,0.1,1072.0,546.72,Dinnerware,Rochester Ltd,107.2,3859.2,1672.3199999999997
SO - 0004481,In-Store,2019-12-01,USD,7,0.2,871.0,409.37,Dinnerware,Rochester Ltd,174.20000000000002,4877.599999999999,2012.0099999999993
SO - 0005695,Distributor,2020-04-11,USD,8,0.05,5406.900000000001,4055.175,Dinnerware,Rochester Ltd,270.345,41092.44,8651.04
SO - 0002490,In-Store,2019-03-16,USD,5,0.075,1279.7,678.2410000000001,Furniture Cushions,Rochester Ltd,95.9775,5918.6125,2527.4075
SO - 0003543,In-Store,2019-07-17,USD,2,0.05,2780.5,1445.86,Furniture Cushions,Rochester Ltd,139.025,5282.95,2391.23
SO - 0008056,Online,2021-01-09,USD,5,0.075,1909.5,916.56,Furniture Cushions,Rochester Ltd,143.2125,8831.4375,4248.637500000001
SO - 000268,In-Store,2018-07-17,USD,5,0.075,1293.1,659.4810000000001,Photo Frames,Rochester Ltd,96.98249999999999,5980.5875,2683.182499999999
SO - 0001166,Online,2018-10-18,USD,3,0.1,5896.0,3950.32,Bedroom Furniture,Rochester Ltd,589.6,15919.199999999999,4068.239999999998
SO - 0004579,Online,2019-11-22,USD,4,0.075,4006.6,1762.904,Bedroom Furniture,Rochester Ltd,300.495,14824.42,7772.804
SO - 0005570,Online,2020-04-11,USD,5,0.1,1118.9,861.5530000000001,Bedroom Furniture,Rochester Ltd,111.89000000000001,5035.05,727.2849999999999
SO - 0004238,In-Store,2019-10-23,USD,1,0.1,6458.8,4714.924,Ornaments,Rochester Ltd,645.8800000000001,5812.92,1097.996
SO - 0007040,In-Store,2020-09-15,USD,4,0.075,3584.5,2831.755,Ornaments,Rochester Ltd,268.8375,13262.65,1935.6299999999992
SO - 000212,In-Store,2018-07-13,USD,3,0.1,2217.7000000000003,1707.6290000000004,Cocktail Glasses,Rochester Ltd,221.77000000000004,5987.790000000001,864.9030000000002
SO - 0005331,Online,2020-02-23,USD,3,0.05,1078.7,560.9240000000001,Cocktail Glasses,Rochester Ltd,53.935,3074.295,1391.5229999999997
SO - 0006249,Online,2020-06-21,USD,6,0.075,1728.6,1071.732,Cocktail Glasses,Rochester Ltd,129.64499999999998,9593.73,3163.3379999999997
SO - 0007250,Distributor,2020-10-03,USD,8,0.05,1775.5,1083.055,Cocktail Glasses,Rochester Ltd,88.775,13493.8,4829.359999999999
SO - 0001881,Online,2019-01-31,USD,5,0.05,1011.7,424.914,Wine Storage,Rochester Ltd,50.58500000000001,4805.575,2681.005
SO - 0003555,In-Store,2019-08-14,USD,5,0.15,1829.1,859.677,Wine Storage,Rochester Ltd,274.36499999999995,7773.674999999999,3475.289999999999
SO - 0007748,In-Store,2020-12-12,USD,6,0.15,201.0,168.84,Wine Storage,Rochester Ltd,30.15,1025.1,12.059999999999945
SO - 000841,In-Store,2018-09-03,USD,8,0.075,3819.0,2176.83,Serveware,Rochester Ltd,286.425,28260.6,10845.96
SO - 0001394,In-Store,2018-11-26,USD,3,0.3,964.8,762.1920000000001,Serveware,Rochester Ltd,289.44,2026.0799999999997,-260.4960000000008
SO - 0001557,In-Store,2018-12-17,USD,2,0.3,670.0,475.7,Serveware,Rochester Ltd,201.0,938.0,-13.399999999999977
SO - 0005915,In-Store,2020-05-20,USD,4,0.075,3886.0,1748.7,Serveware,Rochester Ltd,291.45,14378.2,7383.400000000001
SO - 0006986,Wholesale,2020-08-31,USD,5,0.05,207.7,139.15900000000002,Home Fragrances,Rochester Ltd,10.385,986.575,290.78
SO - 0007619,In-Store,2020-12-03,USD,3,0.075,167.5,142.375,Home Fragrances,Rochester Ltd,12.5625,464.8125,37.6875
SO - 0002424,In-Store,2019-03-28,USD,3,0.075,2257.9,1670.846,Floral,Rochester Ltd,169.3425,6265.6725,1253.1344999999992
SO - 0004464,Wholesale,2019-11-28,USD,8,0.05,1795.6,1400.5680000000002,Floral,Rochester Ltd,89.78,13646.56,2442.015999999998
SO - 0008072,Wholesale,2021-01-29,USD,6,0.075,1721.9,1033.14,Floral,Rochester Ltd,129.1425,9556.545000000002,3357.7050000000017
SO - 0001840,Online,2019-01-20,USD,2,0.075,884.4,636.7679999999999,Blankets,Rochester Ltd,66.33,1636.1399999999999,362.60400000000004
SO - 0003782,In-Store,2019-08-23,USD,6,0.075,1005.0,743.7,Blankets,Rochester Ltd,75.375,5577.75,1115.5499999999993
SO - 0001087,Online,2018-10-17,USD,1,0.075,2525.9,1667.094,Pendants,Rochester Ltd,189.4425,2336.4575,669.3634999999999
SO - 0004774,Wholesale,2019-12-25,USD,3,0.15,958.1,526.955,Pendants,Rochester Ltd,143.715,2443.1549999999997,862.2899999999995
SO - 000334,In-Store,2018-07-17,USD,2,0.15,2586.2000000000003,1629.3060000000005,Basketball,Rochester Ltd,387.93,4396.540000000001,1137.9279999999999
SO - 000727,In-Store,2018-09-03,USD,2,0.1,3618.0,2496.42,Basketball,Rochester Ltd,361.8,6512.4,1519.5599999999995
SO - 0002575,Online,2019-04-05,USD,1,0.075,1118.9,906.309,Basketball,Rochester Ltd,83.9175,1034.9825,128.6735000000001
SO - 0005396,Distributor,2020-03-17,USD,4,0.05,1005.0,542.7,Basketball,Rochester Ltd,50.25,3819.0,1648.1999999999998
SO - 0004791,Wholesale,2019-12-22,USD,2,0.1,3912.8,3208.496,Wall Coverings,Rochester Ltd,391.28000000000003,7043.04,626.0479999999998
SO - 0005056,In-Store,2020-02-02,USD,8,0.05,3892.7,2802.744,Wall Coverings,Rochester Ltd,194.635,29584.519999999997,7162.567999999996
SO - 0005436,In-Store,2020-03-11,USD,5,0.2,261.3,169.84500000000003,Wall Coverings,Rochester Ltd,52.260000000000005,1045.2,195.9749999999999
SO - 0006060,Distributor,2020-05-13,USD,3,0.2,1078.7,528.563,Candleholders,Rochester Ltd,215.74,2588.88,1003.1910000000003
SO - 0005249,In-Store,2020-02-09,USD,8,0.2,1192.6,632.0780000000001,Baseball,Rochester Ltd,238.51999999999998,7632.639999999999,2576.0159999999987
SO - 0001544,In-Store,2018-11-26,USD,7,0.1,6499.0,4744.27,Collectibles,Rochester Ltd,649.9000000000001,40943.700000000004,7733.810000000005
SO - 0001689,Online,2018-12-15,USD,2,0.05,877.7,728.491,Collectibles,Rochester Ltd,43.885000000000005,1667.63,210.64800000000014
SO - 0005933,Distributor,2020-05-04,USD,5,0.05,971.5,680.05,Collectibles,Rochester Ltd,48.575,4614.625,1214.375
SO - 0007393,Distributor,2020-11-01,USD,5,0.075,1051.9,704.7730000000001,Collectibles,Rochester Ltd,78.8925,4865.0375,1341.1724999999997
SO - 000793,Online,2018-09-23,USD,5,0.3,2552.7000000000003,1327.4040000000002,Vanities,Rochester Ltd,765.8100000000001,8934.45,2297.4299999999994
SO - 0006113,In-Store,2020-05-29,USD,3,0.3,2633.1,1606.1909999999998,Vanities,Rochester Ltd,789.93,5529.51,710.9370000000008
SO - 0006218,Online,2020-06-10,USD,4,0.2,1078.7,474.628,Vanities,Rochester Ltd,215.74,3451.84,1553.3280000000002
SO - 0006666,In-Store,2020-08-19,USD,8,0.075,3886.0,2215.02,Vanities,Rochester Ltd,291.45,28756.4,11036.240000000002
SO - 000520,In-Store,2018-08-08,USD,1,0.15,3966.4,2379.84,Bean Bags,Rochester Ltd,594.96,3371.44,991.5999999999999
SO - 000541,In-Store,2018-08-16,USD,6,0.075,2351.7000000000003,1246.4010000000003,Bean Bags,Rochester Ltd,176.37750000000003,13051.935000000001,5573.5289999999995
SO - 000945,Distributor,2018-09-27,USD,1,0.05,5480.6,3233.554,Bean Bags,Rochester Ltd,274.03000000000003,5206.570000000001,1973.0160000000005
SO - 0002312,In-Store,2019-03-15,USD,1,0.4,6224.3,3859.066,Bean Bags,Rochester Ltd,2489.7200000000003,3734.58,-124.48599999999988
SO - 0007447,In-Store,2020-10-28,USD,1,0.075,5071.900000000001,4311.115000000001,Bean Bags,Rochester Ltd,380.39250000000004,4691.507500000001,380.3924999999999
SO - 0007515,In-Store,2020-11-06,USD,5,0.05,1782.2,1051.498,Bean Bags,Rochester Ltd,89.11000000000001,8465.45,3207.960000000001
SO - 000217,Online,2018-07-05,USD,3,0.15,1809.0,1302.48,Dining Furniture,"Elorac, Corp",271.34999999999997,4612.950000000001,705.5100000000007
SO - 0001107,Online,2018-10-30,USD,1,0.075,3999.9,2559.936,Dining Furniture,"Elorac, Corp",299.9925,3699.9075000000003,1139.9715
SO - 0001257,Distributor,2018-11-07,USD,6,0.075,6016.6,4392.118,Dining Furniture,"Elorac, Corp",451.245,33392.130000000005,7039.422000000002
SO - 0004430,Online,2019-11-22,USD,6,0.05,5071.900000000001,3246.0160000000005,Dining Furniture,"Elorac, Corp",253.59500000000003,28909.83,9433.733999999997
SO - 0006333,In-Store,2020-06-21,USD,3,0.4,207.7,103.85,Dining Furniture,"Elorac, Corp",83.08,373.85999999999996,62.31
SO - 0006528,In-Store,2020-07-28,USD,8,0.075,3986.5,2511.495,Dining Furniture,"Elorac, Corp",298.9875,29500.1,9408.14
SO - 000749,In-Store,2018-09-11,USD,6,0.15,1125.6,529.032,Wreaths,"Elorac, Corp",168.83999999999997,5740.5599999999995,2566.3679999999995
SO - 0003961,Online,2019-09-30,USD,4,0.075,1768.8,1220.472,Wreaths,"Elorac, Corp",132.66,6544.5599999999995,1662.6719999999996
SO - 0005906,In-Store,2020-05-22,USD,4,0.3,2217.7000000000003,1618.921,Wreaths,"Elorac, Corp",665.3100000000001,6209.560000000001,-266.1239999999989
SO - 0006586,Online,2020-07-18,USD,8,0.05,1025.1,420.29100000000005,Wreaths,"Elorac, Corp",51.254999999999995,7790.759999999999,4428.431999999999
SO - 0007145,Wholesale,2020-09-20,USD,7,0.075,2492.4,1071.732,Wreaths,"Elorac, Corp",186.93,16138.29,8636.166000000001
SO - 0007374,In-Store,2020-10-21,USD,2,0.15,1882.7,1110.793,Wreaths,"Elorac, Corp",282.405,3200.59,979.0040000000004
SO - 0007529,In-Store,2020-11-05,USD,7,0.15,5165.7,4235.874,Wreaths,"Elorac, Corp",774.8549999999999,30735.915,1084.7970000000023
SO - 000771,In-Store,2018-09-12,USD,7,0.15,978.2,489.1,Stemware,"Elorac, Corp",146.73,5820.29,2396.5899999999997
SO - 0001020,Online,2018-09-30,USD,3,0.1,194.3,137.953,Stemware,"Elorac, Corp",19.430000000000003,524.61,110.75099999999998
SO - 0002215,Wholesale,2019-02-19,USD,6,0.1,221.1,114.972,Stemware,"Elorac, Corp",22.11,1193.94,504.10800000000006
SO - 0003664,In-Store,2019-08-11,USD,1,0.2,247.9,138.824,Stemware,"Elorac, Corp",49.580000000000005,198.32,59.49599999999998
SO - 0004291,Wholesale,2019-10-30,USD,1,0.1,991.6,525.548,Stemware,"Elorac, Corp",99.16000000000001,892.44,366.89200000000005
SO - 0005800,In-Store,2020-04-30,USD,4,0.075,4006.6,3325.478,Stemware,"Elorac, Corp",300.495,14824.42,1522.5079999999998
SO - 0007673,Wholesale,2020-11-25,USD,6,0.075,247.9,111.555,Stemware,"Elorac, Corp",18.5925,1375.845,706.515
SO - 0002329,In-Store,2019-02-27,USD,2,0.1,5567.7,3284.943,Accessories,"Elorac, Corp",556.77,10021.86,3451.974
SO - 0004159,Online,2019-10-26,USD,8,0.1,194.3,97.15,Accessories,"Elorac, Corp",19.430000000000003,1398.96,621.76
SO - 000974,In-Store,2018-10-01,USD,5,0.2,877.7,509.066,Candles,"Elorac, Corp",175.54000000000002,3510.8,965.4700000000003
SO - 0002376,In-Store,2019-03-22,USD,5,0.15,897.8000000000001,718.2400000000001,Candles,"Elorac, Corp",134.67000000000002,3815.6500000000005,224.44999999999982
SO - 0002945,Wholesale,2019-05-14,USD,2,0.2,2472.3,2027.286,Candles,"Elorac, Corp",494.46000000000004,3955.6800000000003,-98.89199999999983
SO - 0007309,Online,2020-10-22,USD,5,0.1,1031.8,629.3979999999999,Candles,"Elorac, Corp",103.18,4643.099999999999,1496.1099999999997
SO - 000614,In-Store,2018-08-25,USD,7,0.075,1051.9,683.7350000000001,Cookware,"Elorac, Corp",78.8925,6811.052500000001,2024.9075000000003
SO - 0001174,Online,2018-10-18,USD,4,0.15,924.6,564.006,Cookware,"Elorac, Corp",138.69,3143.6400000000003,887.6160000000004
SO - 0001326,In-Store,2018-11-04,USD,8,0.05,201.0,152.76,Cookware,"Elorac, Corp",10.05,1527.6,305.52
SO - 0001722,In-Store,2019-01-04,USD,3,0.1,3999.9,3119.922,Cookware,"Elorac, Corp",399.99,10799.73,1439.964
SO - 0001967,Distributor,2019-01-24,USD,6,0.2,1118.9,716.0960000000001,Cookware,"Elorac, Corp",223.78000000000003,5370.720000000001,1074.1440000000002
SO - 0002357,Wholesale,2019-03-04,USD,8,0.075,1011.7,748.658,Cookware,"Elorac, Corp",75.8775,7486.58,1497.3159999999998
SO - 0005360,Distributor,2020-03-04,USD,7,0.05,1065.3,490.038,Cookware,"Elorac, Corp",53.265,7084.245,3653.979
SO - 0003943,In-Store,2019-09-12,USD,1,0.075,1192.6,500.89200000000005,Bathroom Furniture,"Elorac, Corp",89.445,1103.155,602.2629999999999
SO - 0005388,Distributor,2020-02-29,USD,3,0.05,167.5,105.525,Bathroom Furniture,"Elorac, Corp",8.375,477.375,160.79999999999995
SO - 0001133,Online,2018-10-23,USD,7,0.2,1279.7,857.3990000000001,Sculptures,"Elorac, Corp",255.94000000000003,7166.32,1164.5269999999991
SO - 0001536,Online,2018-12-22,USD,7,0.05,6472.2,2977.212,Sculptures,"Elorac, Corp",323.61,43040.130000000005,22199.646000000004
SO - 0004416,Distributor,2019-12-03,USD,8,0.05,187.6,103.18,Sculptures,"Elorac, Corp",9.38,1425.76,600.3199999999999
SO - 0004743,Online,2019-12-11,USD,5,0.4,984.9,472.752,Sculptures,"Elorac, Corp",393.96000000000004,2954.7,590.9399999999996
SO - 0004825,In-Store,2019-12-23,USD,5,0.05,3865.9,2164.9040000000005,Sculptures,"Elorac, Corp",193.29500000000002,18363.025,7538.504999999999
SO - 0006921,In-Store,2020-08-26,USD,8,0.05,227.8,95.676,Sculptures,"Elorac, Corp",11.39,1731.2800000000002,965.8720000000002
SO - 0007563,In-Store,2020-11-11,USD,2,0.075,2639.8,1293.502,Sculptures,"Elorac, Corp",197.985,4883.63,2296.626
SO - 0003050,Online,2019-06-02,USD,1,0.3,227.8,123.012,Audio,"Elorac, Corp",68.34,159.46,36.44800000000001
SO - 0004491,In-Store,2019-12-10,USD,8,0.05,1065.3,458.079,Audio,"Elorac, Corp",53.265,8096.28,4431.647999999999
SO - 0004654,In-Store,2019-12-14,USD,6,0.075,194.3,128.238,Audio,"Elorac, Corp",14.5725,1078.3650000000002,308.93700000000024
SO - 0005944,In-Store,2020-05-08,USD,7,0.05,3993.2,2076.4640000000004,Audio,"Elorac, Corp",199.66,26554.78,12019.531999999996
